Property_ID,City,Locality_Type,Property_Type,BHK,Bathrooms,Super_Area_SqFt,Carpet_Area_SqFt,Floor_Number,Total_Floors,Age_of_Property,Furnishing_Status,Parking,Lift_Available,Gated_Community,Distance_to_Metro_km,Distance_to_City_Center_km,Price_INR_Lakhs
BA-752963,Bangalore,Premium,Apartment,1,2,1649.44,1196.16,9,33,26,Furnished,0,1,1,2.21,9.84,149.96
HY-871771,Hyderabad,Affordable,Builder Floor,3,3,1380.43,1015.76,0,2,8,Unfurnished,1,0,1,0.58,1.98,92.06
KO-092578,Kolkata,Mid-Range,Independent House,3,3,719.75,468.11,13,16,12,Unfurnished,1,1,1,3.93,10.45,49.71
BA-845408,Bangalore,Mid-Range,Villa,3,4,872.64,714.31,14,16,24,Furnished,1,1,0,5.88,5.37,65.96
JA-207824,Jaipur,Mid-Range,Builder Floor,2,2,1341.63,1138.52,0,16,9,Furnished,1,1,0,2.03,11.98,52.83
DE-689337,Delhi,Mid-Range,Villa,4,4,304.42,247.68,1,13,1,Semi-Furnished,0,1,0,3.51,11.87,36.88
CH-241722,Chennai,Mid-Range,Villa,1,2,1041.54,842.87,16,21,20,Furnished,0,1,1,6.92,10.09,82.02
JA-099629,Jaipur,Affordable,Independent House,2,3,940.76,724.96,20,28,0,Furnished,1,1,0,2.26,1.39,44.51
KO-030495,Kolkata,Mid-Range,Villa,3,4,1011.3,823.19,27,32,32,Furnished,1,1,1,2.49,3.61,31.11
HY-013885,Hyderabad,Premium,Builder Floor,4,5,1678.05,1295.42,5,6,6,Furnished,1,1,1,2.93,8.49,208.5
JA-893931,Jaipur,Mid-Range,Independent House,2,2,1563.84,1042.68,13,29,25,Semi-Furnished,1,1,1,3.96,4.06,68.4
KO-132448,Kolkata,Mid-Range,Apartment,5,6,766.38,636.67,22,34,16,Unfurnished,0,1,0,3.03,5.39,58.98
CH-758396,Chennai,Affordable,Independent House,4,5,672.7,552.66,19,35,20,Unfurnished,1,1,1,1.78,8.7,21.09
BA-265077,Bangalore,Mid-Range,Villa,3,4,846.68,693.93,5,7,2,Furnished,1,1,1,2.77,10.23,100.03
MU-699747,Mumbai,Affordable,Villa,4,4,715.55,607.07,5,10,15,Unfurnished,1,1,0,2.02,2.78,144.88
AH-321292,Ahmedabad,Premium,Independent House,2,2,2258.22,1666.5,1,28,30,Unfurnished,1,1,0,3.93,8.78,104.79
PU-314370,Pune,Mid-Range,Builder Floor,4,5,882.33,637.21,14,23,10,Furnished,0,1,1,4.63,9.88,52.46
PU-916479,Pune,Mid-Range,Independent House,2,2,1061.25,876.37,13,15,9,Unfurnished,1,1,1,2.82,11.73,80.49
HY-365724,Hyderabad,Mid-Range,Builder Floor,6,6,1099.46,895.86,0,2,31,Unfurnished,0,0,1,4.43,1.73,97.79
CH-415457,Chennai,Mid-Range,Builder Floor,5,6,1407.76,1110.52,0,8,15,Unfurnished,0,1,1,4.58,3.27,148.15
HY-433193,Hyderabad,Mid-Range,Apartment,4,5,1228.13,816.89,11,22,33,Unfurnished,1,1,0,5.92,7.82,54.45
KO-261151,Kolkata,Mid-Range,Apartment,3,4,1445.44,1202.0,0,4,30,Unfurnished,0,1,1,1.22,2.63,56.34
HY-606153,Hyderabad,Mid-Range,Builder Floor,4,4,1466.42,992.65,2,12,20,Furnished,1,1,1,1.89,9.58,62.08813690643135
BA-268758,Bangalore,Affordable,Independent House,5,5,1015.8,817.41,3,4,30,Unfurnished,1,1,1,2.96,4.97,47.15
PU-025983,Pune,Affordable,Apartment,2,2,798.33,605.81,0,15,20,Unfurnished,1,1,0,4.95,8.4,45.17
BA-563701,Bangalore,Affordable,Builder Floor,2,2,1102.77,862.03,34,36,31,Furnished,0,1,1,3.87,4.61,93.58
CH-980651,Chandigarh,Mid-Range,Apartment,3,4,1199.9,799.9,19,38,34,Furnished,1,1,1,2.07,8.5,47.37
MU-912402,Mumbai,Mid-Range,Builder Floor,5,6,899.0,721.71,25,26,11,Semi-Furnished,1,1,1,3.53,4.79,171.83
PU-161543,Pune,Mid-Range,Independent House,3,3,825.99,659.47,2,9,3,Semi-Furnished,1,1,1,4.21,4.56,92.7
PU-380825,Pune,Premium,Villa,4,5,2720.98,1983.75,12,28,29,Furnished,0,1,0,1.35,10.39,197.59
CH-855907,Chandigarh,Mid-Range,Apartment,3,3,1336.7,1027.63,1,8,4,Furnished,1,1,0,1.69,5.2,148.55
KO-561775,Kolkata,Premium,Builder Floor,2,2,1596.35,1059.48,3,6,11,Furnished,1,1,1,2.25,13.88,103.71
BA-404125,Bangalore,Mid-Range,Independent House,3,3,1437.4,953.05,4,5,26,Furnished,1,1,1,0.87,5.69,123.52
KO-135919,Kolkata,Affordable,Independent House,4,4,598.32,495.45,23,35,27,Semi-Furnished,0,1,0,1.44,4.61,37.52
CH-283073,Chennai,Mid-Range,Apartment,3,3,1085.27,855.02,23,30,4,Semi-Furnished,1,1,0,1.81,9.01,106.03
KO-156686,Kolkata,Affordable,Builder Floor,4,5,1029.09,714.45,13,17,28,Furnished,1,1,1,1.95,5.57,51.06
CH-563284,Chandigarh,Mid-Range,Builder Floor,2,2,758.49,511.26,16,36,29,Unfurnished,0,1,1,2.48,11.32,28.95
MU-037323,Mumbai,Affordable,Apartment,2,3,936.05,764.25,1,2,29,Furnished,1,1,0,2.23,14.34,80.41
AH-432755,Ahmedabad,Mid-Range,Villa,3,3,1218.75,886.03,7,12,24,Semi-Furnished,0,1,1,2.69,6.71,29.81
KO-278360,Kolkata,Mid-Range,Apartment,4,4,895.12,741.88,20,31,2,Furnished,0,1,0,3.84,3.71,89.99
BA-465209,Bangalore,Mid-Range,Apartment,1,2,1588.47,1146.71,4,24,31,Semi-Furnished,1,1,0,2.34,7.72,152.43
CH-638068,Chandigarh,Mid-Range,Builder Floor,3,4,778.37,547.04,4,9,26,Semi-Furnished,1,1,1,4.05,7.16,63.8
JA-012219,Jaipur,Premium,Builder Floor,3,4,2027.45,1411.79,25,27,10,Furnished,1,1,0,5.32,13.46,69.84
JA-844487,Jaipur,Mid-Range,Villa,4,4,1881.15,1334.13,4,5,5,Furnished,1,1,1,3.11,2.54,61.02
JA-134576,Jaipur,Premium,Apartment,3,4,2173.51,1445.42,21,28,2,Unfurnished,1,1,1,0.26,12.53,93.19
DE-918327,Delhi,Premium,Builder Floor,3,3,1085.33,790.03,0,1,18,Semi-Furnished,0,1,1,3.01,12.29,146.45
KO-390592,Kolkata,Mid-Range,Apartment,2,3,1240.1,1007.77,14,21,16,Furnished,1,1,1,4.12,11.15,67.3
AH-132506,Ahmedabad,Mid-Range,Apartment,1,2,782.79,520.0,4,8,12,Furnished,1,1,1,2.01,12.18,30.05
DE-602717,Delhi,Mid-Range,Villa,5,5,916.74,629.1,1,18,24,Semi-Furnished,1,1,1,2.03,15.68,55.38
BA-189947,Bangalore,Mid-Range,Apartment,1,1,907.74,729.21,1,10,32,Furnished,1,1,1,2.09,9.59,63.62
DE-222346,Delhi,Affordable,Independent House,3,4,949.29,787.82,22,28,30,Unfurnished,1,1,1,3.49,4.31,125.44
DE-438056,Delhi,Premium,Independent House,3,3,1361.15,913.82,2,3,0,Unfurnished,1,0,0,2.64,10.83,192.69
CH-123607,Chennai,Affordable,Villa,3,3,636.21,453.61,0,6,22,Semi-Furnished,1,1,1,3.7,9.61,21.03
DE-114828,Delhi,Mid-Range,Independent House,4,4,1206.07,795.18,1,20,3,Unfurnished,1,1,0,3.82,8.15,214.03
AH-564877,Ahmedabad,Premium,Villa,4,5,2652.17,2098.18,23,33,33,Semi-Furnished,0,1,1,0.32,4.14,91.06
KO-316090,Kolkata,Premium,Independent House,2,3,2222.88,1555.23,3,7,33,Furnished,1,1,1,3.36,6.21,199.99
HY-129226,Hyderabad,Mid-Range,Apartment,4,5,1331.51,882.57,1,3,30,Furnished,0,0,1,2.99,10.55,64.64
CH-634111,Chandigarh,Mid-Range,Apartment,2,2,1270.69,1011.3,28,38,18,Semi-Furnished,1,1,0,5.11,14.43,97.8
CH-639935,Chandigarh,Affordable,Villa,4,5,656.99,493.39,9,32,25,Furnished,1,1,1,1.78,2.23,31.33
CH-448609,Chandigarh,Mid-Range,Builder Floor,3,4,1489.24,1232.24,22,25,13,Unfurnished,1,1,0,3.76,6.4,110.07
PU-440504,Pune,Mid-Range,Apartment,3,3,1022.98,796.56,5,8,14,Semi-Furnished,1,1,1,0.04,16.13,40.93
CH-070773,Chennai,Mid-Range,Independent House,3,4,1725.55,1243.57,19,29,16,Unfurnished,1,1,0,1.45,3.96,112.54
MU-400772,Mumbai,Affordable,Independent House,3,3,808.09,600.97,6,16,22,Furnished,1,1,1,1.37,9.96,89.63
KO-079873,Kolkata,Mid-Range,Apartment,2,2,878.33,635.78,6,39,22,Semi-Furnished,1,1,0,0.4,11.58,25.95
CH-285588,Chandigarh,Affordable,Villa,2,2,640.05,462.31,12,21,10,Furnished,1,1,1,6.43,5.46,39.87
JA-815455,Jaipur,Mid-Range,Independent House,2,3,199.23,143.06,37,38,1,Furnished,1,1,1,5.57,11.26,10.0
PU-734254,Pune,Premium,Apartment,3,4,2361.79,1960.74,13,28,5,Unfurnished,1,1,1,2.48,7.94,321.0
BA-299537,Bangalore,Mid-Range,Villa,3,3,1117.54,925.53,19,20,31,Semi-Furnished,1,1,0,6.29,11.42,51.14
DE-404571,Delhi,Premium,Villa,3,3,1268.28,1020.05,5,9,30,Furnished,1,1,1,4.13,6.77,232.54
AH-812083,Ahmedabad,Mid-Range,Villa,5,5,1222.4,970.21,31,38,28,Furnished,1,1,1,1.69,0.2,54.25
JA-074868,Jaipur,Mid-Range,Independent House,3,3,1164.87,902.71,9,17,3,Semi-Furnished,1,1,1,0.79,5.44,60.87
HY-797917,Hyderabad,Mid-Range,Independent House,2,2,1476.39,1228.07,7,19,3,Semi-Furnished,0,1,0,0.87,9.19,133.19
AH-116161,Ahmedabad,Mid-Range,Independent House,3,4,1461.6,1004.44,3,5,25,Unfurnished,1,1,1,1.79,4.48,39.685862682031505
CH-349437,Chennai,Mid-Range,Apartment,1,1,1584.51,1093.48,2,7,23,Unfurnished,1,1,1,2.1,4.29,128.97
CH-551916,Chennai,Premium,Independent House,2,3,1147.56,944.34,5,8,34,Unfurnished,1,1,1,1.55,6.49,90.48
KO-839047,Kolkata,Mid-Range,Villa,3,3,987.91,712.75,8,12,22,Semi-Furnished,1,1,0,2.55,11.88,54.23
DE-488805,Delhi,Affordable,Builder Floor,1,1,849.83,570.29,20,37,33,Unfurnished,0,1,1,3.94,13.5,54.09
PU-375445,Pune,Mid-Range,Villa,3,4,1327.55,1117.65,2,21,18,Furnished,1,1,0,1.7,2.72,131.35
KO-529393,Kolkata,Premium,Apartment,3,3,2615.44,1793.85,5,12,21,Semi-Furnished,1,1,1,6.37,7.28,181.23
CH-757454,Chennai,Premium,Villa,1,2,2000.64,1512.06,4,20,4,Furnished,1,1,0,4.42,12.83,169.65
DE-106905,Delhi,Mid-Range,Builder Floor,3,3,1115.54,759.65,22,23,4,Unfurnished,1,1,1,1.42,1.67,239.05
CH-229977,Chennai,Mid-Range,Villa,2,2,870.56,569.93,4,15,29,Furnished,0,1,1,2.28,2.38,54.29
KO-003594,Kolkata,Premium,Independent House,2,2,2490.15,1622.15,8,24,4,Furnished,0,1,1,4.51,9.94,238.89
AH-725329,Ahmedabad,Affordable,Builder Floor,1,1,754.58,584.76,9,32,2,Unfurnished,1,1,1,4.84,3.23,46.21
KO-383327,Kolkata,Mid-Range,Apartment,4,5,1661.03,1269.09,30,37,1,Semi-Furnished,1,1,1,1.24,6.5,95.1
CH-591345,Chennai,Mid-Range,Independent House,3,3,1418.58,1187.53,9,13,14,Semi-Furnished,1,1,0,3.38,14.04,62.53
CH-033758,Chennai,Mid-Range,Builder Floor,2,3,889.15,667.31,13,14,1,Semi-Furnished,1,1,1,2.63,3.79,38.46972253495161
DE-825568,Delhi,Affordable,Apartment,2,3,402.93,282.05,17,18,0,Furnished,1,1,1,1.83,7.37,48.34
PU-474556,Pune,Affordable,Independent House,2,2,959.7,626.32,12,37,24,Furnished,0,1,1,4.04,6.74,42.24
CH-338679,Chandigarh,Premium,Villa,3,4,2198.2,1528.07,1,29,27,Furnished,1,1,1,2.14,5.01,221.24
HY-799588,Hyderabad,Affordable,Apartment,3,4,681.91,493.94,22,38,17,Semi-Furnished,1,1,1,3.21,7.53,40.81
JA-553145,Jaipur,Premium,Builder Floor,4,5,1705.77,1399.52,15,36,25,Unfurnished,1,1,1,3.91,11.29,201.79426419565496
HY-194524,Hyderabad,Premium,Independent House,3,3,2106.82,1766.65,3,27,34,Semi-Furnished,0,1,1,4.51,8.92,114.4
AH-964638,Ahmedabad,Affordable,Apartment,3,4,848.73,622.99,17,34,10,Furnished,1,1,1,2.08,11.99,26.01
MU-534007,Mumbai,Affordable,Villa,3,3,378.84,269.59,0,1,17,Furnished,1,0,1,2.26,4.67,60.64
PU-280284,Pune,Premium,Builder Floor,2,3,2362.72,1738.36,9,16,32,Furnished,0,1,1,2.19,11.02,199.23
CH-942978,Chandigarh,Premium,Villa,2,3,1483.43,1035.1,30,36,28,Unfurnished,1,1,1,6.28,6.96,501.2892891488803
JA-698828,Jaipur,Affordable,Independent House,2,3,744.49,508.61,2,4,22,Semi-Furnished,1,1,1,5.84,8.34,17.51
JA-521593,Jaipur,Affordable,Independent House,2,3,785.58,635.36,10,14,16,Unfurnished,1,1,0,5.2,9.78,18.6
HY-705304,Hyderabad,Mid-Range,Apartment,2,2,1362.75,1114.51,2,13,31,Semi-Furnished,1,1,1,5.52,1.5,108.85
CH-125259,Chandigarh,Mid-Range,Independent House,1,2,640.04,516.84,19,29,26,Furnished,1,1,1,5.02,9.95,34.62
MU-265827,Mumbai,Affordable,Apartment,2,3,698.49,493.86,5,10,6,Semi-Furnished,1,1,1,4.67,8.65,77.04
CH-380543,Chennai,Premium,Apartment,6,6,1610.45,1317.74,12,17,2,Furnished,1,1,1,1.76,15.51,116.49
AH-197189,Ahmedabad,Premium,Builder Floor,1,1,2027.11,1325.71,0,3,31,Semi-Furnished,0,0,1,2.96,13.37,84.21
CH-006044,Chennai,Premium,Villa,3,4,1628.55,1247.47,6,34,28,Furnished,0,1,1,3.88,6.58,121.44
KO-595454,Kolkata,Affordable,Independent House,2,3,807.42,630.29,9,13,31,Unfurnished,1,1,1,1.54,7.11,36.48
MU-329896,Mumbai,Mid-Range,Apartment,2,2,1502.48,1188.91,0,1,6,Furnished,1,1,1,0.4,1.87,276.61
CH-468312,Chennai,Affordable,Villa,3,4,797.11,610.02,10,29,3,Unfurnished,1,1,1,4.36,6.57,53.46
HY-568001,Hyderabad,Mid-Range,Villa,3,3,756.37,525.71,13,19,21,Semi-Furnished,1,1,1,6.34,2.44,47.21
HY-222586,Hyderabad,Mid-Range,Apartment,5,5,1866.41,1251.32,24,28,2,Unfurnished,1,1,0,3.35,1.9,244.99
BA-044606,Bangalore,Mid-Range,Builder Floor,2,3,1303.58,942.68,21,27,12,Semi-Furnished,1,1,1,1.34,3.62,223.06
CH-845598,Chennai,Affordable,Apartment,3,3,1063.86,743.9,9,17,6,Semi-Furnished,1,1,1,0.95,13.84,73.71
KO-736375,Kolkata,Mid-Range,Villa,4,4,326.35,246.5,1,15,27,Semi-Furnished,1,1,1,2.13,9.36,16.08
HY-588236,Hyderabad,Premium,Builder Floor,1,1,2074.12,1544.22,0,14,2,Semi-Furnished,0,1,0,3.04,6.4,261.62
PU-916525,Pune,Mid-Range,Apartment,3,3,1256.05,1026.28,3,4,29,Semi-Furnished,1,1,1,0.06,0.25,105.56
KO-212972,Kolkata,Mid-Range,Builder Floor,2,2,1108.69,921.45,14,31,1,Semi-Furnished,1,1,1,3.87,13.8,85.52
HY-478251,Hyderabad,Premium,Builder Floor,3,3,1555.41,1167.72,10,35,3,Semi-Furnished,0,1,1,3.37,4.17,272.06
CH-636230,Chennai,Affordable,Independent House,4,5,676.2,480.19,9,10,21,Semi-Furnished,1,1,1,4.58,1.86,29.14
MU-659507,Mumbai,Mid-Range,Villa,4,5,521.6,415.21,28,37,4,Furnished,1,1,1,3.46,16.6,116.07
KO-069974,Kolkata,Affordable,Apartment,2,2,900.48,707.81,5,27,6,Unfurnished,1,1,1,4.71,12.16,23.35
MU-963329,Mumbai,Premium,Apartment,1,1,2476.65,1694.36,1,2,29,Unfurnished,1,1,0,0.28,5.23,439.14
CH-251413,Chennai,Affordable,Builder Floor,2,2,696.03,506.86,4,7,21,Furnished,1,1,1,3.38,12.03,25.59
JA-457971,Jaipur,Mid-Range,Independent House,3,4,1305.49,1012.81,5,9,1,Furnished,1,1,1,4.61,3.05,86.14
CH-013662,Chandigarh,Premium,Builder Floor,3,4,1893.98,1456.77,0,7,30,Semi-Furnished,1,1,1,5.13,2.27,248.21
BA-470517,Bangalore,Mid-Range,Builder Floor,4,4,718.47,536.94,4,12,26,Furnished,0,1,0,2.05,8.07,39.25
KO-684777,Kolkata,Mid-Range,Apartment,4,5,1329.08,1068.31,1,2,3,Furnished,1,0,1,5.61,12.55,56.42
BA-896173,Bangalore,Mid-Range,Villa,2,3,1004.65,843.95,0,1,33,Unfurnished,0,1,1,3.48,6.71,87.19
CH-179435,Chennai,Mid-Range,Apartment,3,4,1123.95,757.88,9,26,32,Semi-Furnished,1,1,1,4.48,8.07,70.87
DE-380371,Delhi,Affordable,Independent House,2,2,786.49,635.14,14,17,17,Unfurnished,1,1,1,4.66,1.69,72.28
JA-396451,Jaipur,Affordable,Villa,2,2,946.9,660.42,15,21,19,Unfurnished,1,1,1,1.09,4.16,33.46
PU-507730,Pune,Premium,Apartment,1,1,2446.6,1917.03,1,4,27,Semi-Furnished,1,1,0,5.34,7.63,207.5
MU-727453,Mumbai,Premium,Apartment,1,2,2378.93,1602.52,9,35,13,Semi-Furnished,1,1,0,2.45,6.96,773.24
KO-884089,Kolkata,Mid-Range,Villa,4,4,1182.43,996.64,6,22,11,Semi-Furnished,1,1,0,2.04,9.82,64.25
DE-088616,Delhi,Affordable,Apartment,1,2,915.31,664.31,26,35,18,Unfurnished,1,1,0,7.67,16.88,98.95
BA-240760,Bangalore,Premium,Villa,4,5,1989.18,1379.94,1,7,34,Unfurnished,0,1,0,3.63,12.1,164.1
AH-887494,Ahmedabad,Premium,Villa,4,4,1569.6,1169.41,6,13,7,Semi-Furnished,1,1,0,1.94,12.93,92.77
AH-937416,Ahmedabad,Mid-Range,Apartment,2,3,895.01,652.03,4,24,2,Furnished,1,1,1,5.02,12.34,63.36
MU-751685,Mumbai,Affordable,Independent House,3,4,917.37,612.86,8,33,5,Unfurnished,1,1,1,7.38,3.61,176.85
PU-621896,Pune,Mid-Range,Villa,4,5,1649.25,1155.33,3,19,12,Furnished,1,1,0,2.53,11.86,102.62
BA-418653,Bangalore,Mid-Range,Apartment,6,6,1321.3,1051.09,1,2,17,Furnished,1,0,0,1.18,8.67,100.42
AH-325187,Ahmedabad,Affordable,Builder Floor,1,2,832.86,644.02,13,16,6,Semi-Furnished,1,1,1,2.79,3.95,49.51
MU-062286,Mumbai,Affordable,Apartment,3,4,644.37,545.54,34,36,24,Semi-Furnished,1,1,0,0.34,17.02,46.37
CH-764989,Chandigarh,Premium,Builder Floor,2,2,1209.09,1000.69,5,32,21,Furnished,0,1,1,4.59,12.56,131.48
CH-253499,Chennai,Affordable,Villa,1,1,712.45,570.74,2,3,25,Semi-Furnished,0,0,0,4.36,17.74,24.94
JA-010910,Jaipur,Affordable,Independent House,3,4,1009.68,741.18,18,38,23,Furnished,1,1,1,4.51,0.69,22.78
DE-217956,Delhi,Mid-Range,Independent House,3,3,1252.37,843.44,3,17,14,Furnished,1,1,0,2.17,8.33,196.24
CH-998317,Chandigarh,Affordable,Apartment,2,3,931.75,716.86,12,16,19,Furnished,0,1,1,2.16,4.85,34.38
MU-487567,Mumbai,Premium,Apartment,6,6,1727.43,1187.89,2,21,5,Semi-Furnished,0,1,0,4.44,6.23,340.96
PU-566733,Pune,Premium,Independent House,3,4,1331.36,960.04,24,32,11,Furnished,1,1,0,3.35,12.48,100.24
DE-139269,Delhi,Premium,Builder Floor,2,2,3271.05,2186.97,11,28,15,Furnished,1,1,1,0.02,5.01,917.43
CH-447288,Chennai,Affordable,Independent House,1,2,726.66,559.31,12,13,16,Furnished,1,1,0,3.62,14.83,38.08
CH-443274,Chennai,Mid-Range,Independent House,3,3,1364.85,1021.05,18,24,25,Furnished,1,1,0,4.37,3.78,69.05
KO-438303,Kolkata,Premium,Builder Floor,2,2,1719.69,1223.03,3,16,34,Unfurnished,1,1,0,2.79,11.25,117.98
MU-967477,Mumbai,Premium,Independent House,4,5,2807.5,2269.98,6,24,19,Semi-Furnished,1,1,1,2.46,7.93,797.82
PU-018302,Pune,Mid-Range,Villa,2,3,1523.24,992.82,1,3,34,Semi-Furnished,1,0,1,0.8,7.73,101.09
JA-059735,Jaipur,Mid-Range,Independent House,3,4,953.56,782.68,4,5,4,Semi-Furnished,1,1,1,6.21,6.24,27.42
DE-007464,Delhi,Affordable,Builder Floor,3,4,1048.23,734.44,10,27,1,Semi-Furnished,1,1,0,1.26,10.76,92.78
JA-824454,Jaipur,Mid-Range,Independent House,2,3,1083.67,908.71,4,16,31,Unfurnished,0,1,1,1.24,8.69,19.39
CH-933803,Chandigarh,Mid-Range,Builder Floor,3,3,1234.51,812.34,13,18,27,Semi-Furnished,1,1,1,5.02,11.06,61.61
BA-022005,Bangalore,Affordable,Independent House,3,3,950.31,745.98,9,24,31,Semi-Furnished,1,1,0,2.05,2.83,76.14
CH-139871,Chennai,Affordable,Builder Floor,4,4,1012.08,702.26,8,25,12,Furnished,0,1,0,0.3,13.38,62.74
DE-790981,Delhi,Mid-Range,Builder Floor,3,3,1363.82,1001.12,34,38,19,Semi-Furnished,1,1,0,2.07,6.57,158.84
CH-279048,Chennai,Premium,Apartment,3,4,2115.92,1568.29,3,33,32,Semi-Furnished,0,1,1,4.23,12.78,186.43
CH-363315,Chandigarh,Mid-Range,Independent House,4,5,1319.89,915.69,8,13,33,Semi-Furnished,1,1,1,0.85,7.05,102.64
CH-555260,Chandigarh,Premium,Builder Floor,4,4,2547.42,2144.17,30,39,18,Semi-Furnished,1,1,1,4.14,6.27,284.95
CH-881724,Chennai,Premium,Builder Floor,3,3,1780.79,1163.77,16,18,7,Unfurnished,0,1,1,4.22,9.85,249.73
BA-669067,Bangalore,Mid-Range,Builder Floor,3,3,1472.69,1021.68,9,20,28,Furnished,1,1,1,1.9,1.51,139.94
DE-809286,Delhi,Premium,Builder Floor,3,4,1142.77,828.42,13,18,26,Semi-Furnished,1,1,1,3.36,12.2,208.13
CH-554573,Chennai,Premium,Villa,3,4,2770.05,1910.1,8,17,8,Furnished,1,1,1,4.94,3.69,430.75
CH-274227,Chennai,Mid-Range,Apartment,3,4,753.24,634.21,10,27,26,Furnished,1,1,0,7.0,5.49,39.61
CH-431374,Chandigarh,Premium,Apartment,2,3,2593.86,1858.3,13,14,12,Furnished,0,1,0,6.07,14.2,157.39
JA-670071,Jaipur,Premium,Villa,3,3,1912.44,1502.18,3,27,9,Furnished,1,1,1,4.55,5.74,129.95
BA-132838,Bangalore,Affordable,Builder Floor,4,5,1122.95,881.56,2,14,23,Furnished,0,1,0,1.64,4.36,78.72
BA-098441,Bangalore,Mid-Range,Independent House,2,2,1352.88,1122.69,3,29,18,Semi-Furnished,0,1,1,3.31,11.2,120.66
AH-167367,Ahmedabad,Mid-Range,Villa,1,1,732.26,588.43,6,30,9,Semi-Furnished,1,1,1,5.65,8.52,33.93
CH-923536,Chennai,Premium,Builder Floor,5,6,1449.01,1169.79,15,33,30,Semi-Furnished,1,1,1,1.46,11.21,113.1
JA-645306,Jaipur,Mid-Range,Independent House,1,1,1656.3,1125.97,0,38,11,Furnished,1,1,1,4.15,7.31,51.01
PU-811065,Pune,Mid-Range,Villa,2,3,1222.17,850.84,27,32,26,Furnished,1,1,0,0.79,16.17,88.1
AH-831666,Ahmedabad,Mid-Range,Villa,2,2,1060.51,709.23,2,5,4,Furnished,1,1,0,0.91,9.62,56.12
CH-115187,Chennai,Affordable,Apartment,1,2,546.76,461.29,1,5,17,Furnished,0,1,1,2.53,6.16,24.52
CH-734088,Chandigarh,Mid-Range,Independent House,3,3,1368.43,1078.32,17,27,9,Furnished,1,1,1,2.07,4.58,81.89
BA-494431,Bangalore,Premium,Apartment,2,2,2211.96,1445.46,8,34,25,Furnished,1,1,1,2.57,5.5,219.45
